agent,label,seed,personaId,tier,satisfiable,dietStyle,horizonDays,mealsPerDay,snacksPerDay,poolAfterDiet,poolAfterPrep,slotCalls,meanBudget,solveMs,daysJudged,daysInBand
A14,att20,424242,p000,HARD,true,none,7,4,2,413,238,840,20.000,608,7,6
A14,att20,424242,p001,EASY,true,paleo,1,3,1,156,70,80,7.000,6,1,1
A14,att20,424242,p002,EASY,true,kosher,1,4,1,418,418,10,20.000,15,1,1
A14,att20,424242,p003,EASY,true,mediterranean,1,4,1,814,814,5,20.000,12,1,1
A14,att20,424242,p004,IMPOSSIBLE,false,none,1,3,1,209,98,80,9.000,12,1,0
A14,att20,424242,p005,HARD,true,keto,7,3,0,33,1,420,5.000,2,0,0
A14,att20,424242,p006,HARD,true,none,1,4,2,516,516,6,20.000,9,1,1
A14,att20,424242,p007,EASY,true,none,1,3,0,728,534,18,20.000,31,1,1
A14,att20,424242,p008,ROBUSTNESS,true,vegan,1,3,2,169,169,5,16.000,2,1,1
A14,att20,424242,p009,EASY,true,keto,1,4,0,22,22,4,5.000,0,1,1
A14,att20,424242,p010,EASY,true,none,1,5,1,620,181,6,18.000,2,1,1
A14,att20,424242,p011,EASY,true,none,1,3,0,659,462,9,20.000,12,1,1
A14,att20,424242,p012,EASY,true,none,1,4,3,910,910,14,20.000,27,1,1
A14,att20,424242,p013,HARD,true,none,1,4,2,281,281,6,20.000,5,1,1
A14,att20,424242,p014,HARD,true,none,1,3,0,325,187,3,18.000,2,1,1
A14,att20,424242,p015,EASY,true,none,1,2,0,642,642,2,20.000,4,1,1
A14,att20,424242,p016,EASY,true,none,1,4,1,910,910,5,20.000,14,1,1
A14,att20,424242,p017,HARD,true,paleo,1,5,1,75,72,120,7.000,10,1,0
A14,att20,424242,p018,EASY,true,carnivore,7,3,1,3,3,560,5.000,4,2,0
A14,att20,424242,p019,HARD,true,keto,1,3,2,17,12,5,5.000,0,1,1
A14,att20,424242,p020,EASY,true,vegetarian,1,2,2,217,129,80,12.000,13,1,1
A14,att20,424242,p021,EASY,true,none,1,4,1,520,520,5,20.000,7,1,1
A14,att20,424242,p022,HARD,true,kosher,7,3,2,345,345,700,20.000,596,7,1
A14,att20,424242,p023,EASY,true,none,7,3,1,910,910,28,20.000,99,7,7
A14,att20,424242,p024,EASY,true,none,1,3,1,910,910,4,20.000,9,1,1
A14,att20,424242,p025,EASY,true,none,1,4,3,343,343,49,20.000,26,1,1
A14,att20,424242,p026,HARD,true,mediterranean,1,4,0,172,172,4,17.000,2,1,1
A14,att20,424242,p027,IMPOSSIBLE,false,vegan,1,3,1,20,20,80,5.000,2,1,0
A14,att20,424242,p028,IMPOSSIBLE,false,halal,1,3,1,203,114,4,11.000,1,1,1
A14,att20,424242,p029,EASY,true,none,1,2,1,910,910,3,20.000,8,1,1
A14,att20,424242,p030,IMPOSSIBLE,false,vegan,1,3,1,20,17,80,5.000,1,1,0
A14,att20,424242,p031,EASY,true,none,1,5,1,910,910,6,20.000,26,1,1
A14,att20,424242,p032,EASY,true,none,1,3,1,564,564,4,20.000,12,1,1
A14,att20,424242,p033,EASY,true,keto,1,4,3,53,50,21,5.000,2,1,1
A14,att20,424242,p034,HARD,true,kosher,7,2,2,205,205,560,20.000,275,7,5
A14,att20,424242,p035,EASY,true,mediterranean,1,3,2,532,532,5,20.000,8,1,1
A14,att20,424242,p036,EASY,true,none,7,3,2,453,365,700,20.000,766,7,2
A14,att20,424242,p037,HARD,true,none,1,2,1,316,316,3,20.000,1,1,1
A14,att20,424242,p038,EASY,true,none,1,3,1,426,426,4,20.000,7,1,1
A14,att20,424242,p039,HARD,true,none,1,3,2,323,123,5,12.000,1,1,1
A14,att20,424242,p040,HARD,true,none,1,4,2,234,234,120,20.000,97,1,1
A14,att20,424242,p041,HARD,true,halal,1,4,2,252,110,6,11.000,2,1,1
A14,att20,424242,p042,ROBUSTNESS,true,none,7,3,2,380,380,105,20.000,98,7,7
A14,att20,424242,p043,EASY,true,halal,1,4,0,489,273,4,20.000,3,1,1
A14,att20,424242,p044,EASY,true,none,1,2,0,564,564,4,20.000,15,1,1
A14,att20,424242,p045,IMPOSSIBLE,false,vegetarian,7,3,3,72,35,840,5.000,24,7,1
A14,att20,424242,p046,EASY,true,paleo,1,3,0,166,156,6,15.000,4,1,1
A14,att20,424242,p047,EASY,true,vegan,7,3,2,169,154,700,15.000,201,7,3
A14,att20,424242,p048,EASY,true,none,1,3,1,910,603,4,20.000,11,1,1
A14,att20,424242,p049,EASY,true,vegetarian,1,4,2,171,171,120,17.000,43,1,0
